lead_temperature,day,channel,time_of_day,purpose,message_type
hot,0,text,within_5min,initial_response,greeting_with_property
hot,0,email,4hrs_after_text,listings_matching_criteria,property_showcase
hot,1,call,10am,qualify_and_schedule,discovery_call
hot,1,text,2pm,confirm_showing,logistics
hot,2,email,9am,market_insight,value_add
hot,2,text,4pm,check_in,engagement
hot,3,call,11am,follow_up_on_showing,feedback
hot,4,email,9am,new_listings,property_showcase
hot,5,text,12pm,check_in,engagement
hot,7,email,9am,market_update,value_add
hot,10,call,2pm,status_check,re_engage
hot,14,email,9am,new_listings,property_showcase
hot,21,text,12pm,check_in,engagement
hot,30,email,9am,monthly_update,value_add
warm,0,text,within_1hr,initial_response,greeting_intro
warm,0,email,4hrs_after_text,area_overview,value_add
warm,1,text,10am,follow_up,engagement
warm,2,email,9am,listings,property_showcase
warm,3,call,2pm,qualify,discovery_call
warm,5,email,9am,market_insight,value_add
warm,7,text,12pm,check_in,engagement
warm,10,email,9am,new_listings,property_showcase
warm,14,call,11am,re_engage,status_check
warm,21,email,9am,market_update,value_add
warm,30,text,12pm,check_in,engagement
cold,0,email,within_24hr,initial_response,greeting_intro
cold,3,text,12pm,follow_up,engagement
cold,7,email,9am,market_update,value_add
cold,14,email,9am,area_spotlight,value_add
cold,21,text,12pm,re_engage,check_in
cold,30,email,9am,monthly_market_report,value_add
cold,45,text,12pm,re_engage,check_in
cold,60,email,9am,quarterly_update,value_add
cold,90,text,12pm,final_re_engage,check_in
